2018-04-14 22:30:04 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (e7541885-6e30-5f4c-ad27-bffe35349b87)] -> name: pwd]
2018-04-14 22:31:08 INFO  LoginPage:46 - click on login btoonProxy element for: DefaultElementLocator 'By.id: loginButton'
2018-04-14 22:31:08 INFO  TC0003Multiplecredentials:28 - -----multiple end user log
2018-04-14 22:35:00 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-14 22:35:00 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (c30439f5-31ef-4e48-acc9-481680aaca37)] -> id: username]
2018-04-14 22:35:01 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (c30439f5-31ef-4e48-acc9-481680aaca37)] -> name: pwd]
2018-04-14 22:35:01 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (c30439f5-31ef-4e48-acc9-481680aaca37)] -> id: loginButton]
2018-04-14 22:35:01 INFO  TC0003Multiplecredentials:28 - -----multiple end user log
2018-04-14 22:37:22 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-14 22:37:23 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (dee9f593-035e-264e-a5e2-fea3aaacc139)] -> id: username]
2018-04-14 22:37:23 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (dee9f593-035e-264e-a5e2-fea3aaacc139)] -> name: pwd]
2018-04-14 22:37:23 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (dee9f593-035e-264e-a5e2-fea3aaacc139)] -> id: loginButton]
2018-04-14 22:37:23 INFO  TC0003Multiplecredentials:28 - -----multiple end user log
2018-04-14 22:56:30 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-14 23:02:21 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-14 23:07:41 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-14 23:07:43 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-14 23:07:43 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> id: username]
2018-04-14 23:07:43 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> name: pwd]
2018-04-14 23:07:44 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> id: loginButton]
2018-04-14 23:07:44 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-14 23:07:44 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-14 23:08:46 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-14 23:08:46 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> id: username]
2018-04-14 23:08:47 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> name: pwd]
2018-04-14 23:08:47 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> id: loginButton]
2018-04-14 23:08:47 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-14 23:08:47 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-14 23:08:47 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> id: username]
2018-04-14 23:08:47 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> name: pwd]
2018-04-14 23:08:48 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (65bae466-242c-554f-9165-e6198d8f8243)] -> id: loginButton]
2018-04-14 23:08:48 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:31:05 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-15 09:31:07 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:31:07 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> id: username]
2018-04-15 09:31:08 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> name: pwd]
2018-04-15 09:31:10 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> id: loginButton]
2018-04-15 09:31:10 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:31:10 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:31:10 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> id: username]
2018-04-15 09:31:10 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> name: pwd]
2018-04-15 09:31:10 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> id: loginButton]
2018-04-15 09:31:10 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:31:10 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:32:12 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:32:12 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> id: username]
2018-04-15 09:32:12 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> name: pwd]
2018-04-15 09:32:12 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (30295553-145e-b343-aa91-237a13d664a5)] -> id: loginButton]
2018-04-15 09:32:12 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:36:41 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-15 09:36:42 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:36:43 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> id: username]
2018-04-15 09:36:43 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> name: pwd]
2018-04-15 09:36:43 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> id: loginButton]
2018-04-15 09:36:43 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:36:43 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:37:47 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:37:49 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> id: username]
2018-04-15 09:37:49 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> name: pwd]
2018-04-15 09:37:50 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> id: loginButton]
2018-04-15 09:37:50 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:37:50 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:37:50 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> id: username]
2018-04-15 09:37:50 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> name: pwd]
2018-04-15 09:37:52 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (e3904317-e4bb-974e-8610-04c61cfaaf03)] -> id: loginButton]
2018-04-15 09:37:52 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:45:22 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-15 09:45:24 INFO  TC0003Multiplecredentials:34 - -----multiple user log
